Station,Frequency,Show,Type,Genre,Description,Link,Time
Hot 96,96,Round 2,Music Mix,Contemporary,,https://hot96-atunwadigital.streamguys1.com/hot96,10am-12pm saturdays
Classic 105,105.2,The Kick Off,Music Mix,Urban,,https://atunwadigital.streamguys1.com/classic105,7pm-12am saturdays
Classic 105,105.2,Mike in the Morning,Talk/Music Mix,Urban,,https://atunwadigital.streamguys1.com/classic105,6am-10am saturdays
HomeBoyz,103.5,Homeboyz overnight,Music Mix,Urban,,https://atunwadigital.streamguys1.com/homeboyzradio,8pm-12am fridays/saturdays
Kiss FM,100.3,Hot 30 countdown,Music Mix,Contemporary,,https://kiss100fm-atunwadigital.streamguys1.com/kiss100fm,10am-3pm saturdays
Kiss FM,100.3,The score,Talk/Music Mix,Football,,https://kiss100fm-atunwadigital.streamguys1.com/kiss100fm,3pm-7pm saturdays
Kiss FM,100.3,Klub Kiss,Music Mix,Urban/Contemporary,,https://kiss100fm-atunwadigital.streamguys1.com/kiss100fm,7pm-12am saturdays
Radio Jambo,97.5,Overnights,Music Mix,Contemporary,,https://atunwadigital.streamguys1.com/radiojambo,12am-7am saturdays
NRG,97.1,Bang Bang,Music Mix,Pop/Urban/Afro,,https://uksouth.streaming.broadcast.radio/nrg,7am-12am saturdays
Nation FM,96.3,Rhythm N Flow,Music Mix,Reggae/Riddim,,https://stream.radiojar.com/3by7s8eg65quv,6pm-12am saturdays
Ghetto Radio,89.5,Mix,Music Mix,Reggae/Riddim,,https://stream.zeno.fm/eghcv7h647zuv.aac,6pm-12am saturdays
Spice Fm,94.4,Play ground on spice,Music Mix,classic music,,https://atunwapodcasts.com/player/spicefm.html,2pm-12am saturdays
Truth FM,907,Dating Clinic,Talk/Music Mix,Christian,,https://truthfm-atunwadigital.streamguys1.com/truthfm,3pm-6pm saturdays
Classic 105,105.2,Classic sunday nights,Music Mix,Afro-pop/urban/classics,,https://atunwadigital.streamguys1.com/classic105,12am-6am sundays
Radio Citizen,106.7,Pambazuka Jumapili,Talk/Music Mix,Christian,,https://radiocitizen-atunwadigital.streamguys1.com/radiocitizen,5am- 10am sundays
Radio Citizen,106.7,Roga roga,Talk/Music Mix,Rhumba/lingala,,https://radiocitizen-atunwadigital.streamguys1.com/radiocitizen,10am-1pm sundays
Radio Citizen,106.7,Wingu La Baraka,Talk/Music Mix,Christian,,https://radiocitizen-atunwadigital.streamguys1.com/radiocitizen,1pm - 4pm sundays
HBR,103.5,Weekend Breakfast,Music Mix,Urban,,https://atunwadigital.streamguys1.com/homeboyzradio,12am-6am sundays
HBR,103.5,Sunday Mornings,Talk/Music Mix,Urban,,https://atunwadigital.streamguys1.com/homeboyzradio,10am-3pm sundays
HBR,103.5,sunday live,Music Mix,Urban,,https://atunwadigital.streamguys1.com/homeboyzradio,3pm-7pm sundays
HBR,103.5,Mystic sunset chart,Music Mix,Urban/Pop,,https://atunwadigital.streamguys1.com/homeboyzradio,7pm-10pm sundays
HBr,103.5,Homeboyz overnight,Music Mix,Urban,,https://atunwadigital.streamguys1.com/homeboyzradio,10pm-12am sundays
Radio Maisha,102.7,Shangwe,Music Mix,Christian,,https://stream-140.zeno.fm/etpprqerqy5tv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJldHBwcnFlcnF5NXR2IiwiaG9zdCI6InN0cmVhbS0xNDAuemVuby5mbSIsInJ0dGwiOjUsImp0aSI6Im5FYTZJWWxXU1NHam4yMDBMV28zTkEiLCJpYXQiOjE3NDU3MDMwNDUsImV4cCI6MTc0NTcwMzEwNX0.fV6sbPc3Ds6YIfstJY2rHCZlzdAcawnYBBrj45ldMCM,6am-10am sundays
NRG,97.1,NRG soul garage,Music Mix,classis/soul,,https://uksouth.streaming.broadcast.radio/nrg,2pm-5pm sundays
NRG,97.1,Praise Party,Music Mix,Christiian,,https://uksouth.streaming.broadcast.radio/nrg,7pm -9pm sundays
